"","target","year_start","resp_convmil","resp_convmil_gro","resp_convmil_airsea","resp_paramil","resp_cyberdisrup","resp_infoops","source","notes","new","incident","dcid","rei","dcid_severity","rei_infoops","rei_cyberdisrup","rei_matsupp"
"1","Chechnya",1994,1,1,1,1,1,1,"https://www.rand.org/pubs/conf_proceedings/CF129/CF-129-chapter2.html; https://pdfs.semanticscholar.org/d00e/5952d606935c8769e21236d6b9cccdc4d52b.pdf; http://www.highseclabs.com/data/foir2970.pdf; https://www.legal-tools.org/doc/38af49/pdf/","Previously coded. Casualties believed to be around 100,000 - most of which were Chechen civilians. Sources provided.",1,NA,NA,NA,NA,NA,NA,NA
"2","Belarus",1994,0,0,0,0,NA,1,"https://www.csce.gov/sites/helsinkicommission.house.gov/files/Report%20on%20the%20Belarusian%20Presidential%20Election%201994.pdf; https://www.rienner.com/title/Russia_vs._the_EU_The_Competition_for_Influence_in_Post_Soviet_States","Tolstrup's book has information on possible Russian election assistance (in Ukraine, Belarus, and Moldova, 1994-1996), but I don't have access to the reading. No evidence of any sort of Russian military presence during this time.",NA,"Presidential elections",NA,1,NA,0,0,1
"3","Ukraine",1994,0,0,0,0,NA,1,"https://onlinelibrary.wiley.com/doi/epdf/10.1111/1475-6765.12092?referrer_access_token=8L-54WPUQaqNANKE9ihm3ota6bR2k8jH0KrdpFOxC64MbL2isZTBuBdUMEL7X2LJ-9b0w2X4wVTbc4IHJWBJNop4wfA01sWdNrH00K1KxtEpnAARLiX7NzzUdU0t4tIh4Ex430HVcwBU_2-NQ0Gn8g%3D%3D; https://muse.jhu.edu/article/607617/pdf?casa_token=ijSCL93Sho8AAAAA:Wzz1JGvlbGwGYg7PwA3zJ9lo_57H6ZfnJQUleW6i1kA-IBTrbCGRLYxD2v9TaCfZOT1vmSJl","No evidence of any sort of Russian military presence during this time.",NA,"Presidential elections",NA,1,NA,0,0,1
"4","Moldova",1996,0,0,0,0,NA,1,"https://www.osce.org/odihr/elections/moldova/14852?download=true; https://onlinelibrary.wiley.com/doi/epdf/10.1111/1475-6765.12092?referrer_access_token=8L-54WPUQaqNANKE9ihm3ota6bR2k8jH0KrdpFOxC64MbL2isZTBuBdUMEL7X2LJ-9b0w2X4wVTbc4IHJWBJNop4wfA01sWdNrH00K1KxtEpnAARLiX7NzzUdU0t4tIh4Ex430HVcwBU_2-NQ0Gn8g%3D%3D;","Military involvement coded as 0, though there was Russian military involvement during the Transnistria war prior to elections. I couldn't find much on the Moldova elections as they related to Russian involvement.",NA,"Presidential elections",NA,1,NA,0,0,1
"5","Kosovo",1999,1,1,0,1,1,1,"http://inspiratron.org/blog/2014/07/01/case-cyber-war-kosovo-conflict/; https://www.hrw.org/reports/2000/nato/Natbm200-01.htm; https://web.archive.org/web/20140927011310/http://www.kosovomemorybook.org:80/?page_id=29&lang=de;","Previously coded. Estimated 13,500 deaths during the conflict, around 9,000 of which were civilians. Sources provided.",1,NA,NA,NA,NA,NA,NA,NA
"6","Georgia",2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Ukraine",2002,0,0,0,0,NA,1,"https://www.researchgate.net/publication/250209735_Russian_Policy_toward_Ukraine_during_Elections; https://www.csce.gov/sites/helsinkicommission.house.gov/files/Ukraine%27s%20Presidential%20Elections%20-%20The%20Turning%20Point.pdf;",NA,NA,"Parliamentary Elections",NA,1,NA,0,0,1
"8","Georgia",2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Ukraine",2004,0,0,0,0,1,1,"https://onlinelibrary.wiley.com/doi/epdf/10.1111/1475-6765.12079?referrer_access_token=lUlFNvbjnj5BF6aj1cJf6ota6bR2k8jH0KrdpFOxC67fhFRtuEILGzenzgc8A1pFHmyw9NhgTJ_z35_9QnFtlKMAnWDuszRuhuOiRmbS5YOspWW5OsS3ugPRQNwxgu6ZYYgcnuEpDG1ldfkAwB5pJQ%3D%3D; https://www.researchgate.net/publication/250209735_Russian_Policy_toward_Ukraine_during_Elections; https://www.csmonitor.com/World/Passcode/2014/0617/Ukraine-election-narrowly-avoided-wanton-destruction-from-hackers;","Russian technologists present in Ukraine during time of election to provide ""technical assistance"".",NA,"Presidential elections",NA,1,NA,0,0,1
"10","Lithuania",2005,0,0,0,0,1,NA,"https://www.baesystems.com/en/cybersecurity/feature/the-snake-campaign; https://www.nytimes.com/2014/03/09/world/europe/suspicion-falls-on-russia-as-snake-cyberattacks-target-ukraines-government.html;","Looks like the cyberattack was from Snake's predecessor. No evidence of Russian presence in the region at the time. Very little information on the attack.",NA,"Snake",1,NA,4,NA,NA,NA
