"","Crisis No","Crisis Name","Year","Target","Crisis Violence Centrality","Crisis Violence Severity","Actor Violence Severity","Escalation","Outcome","Duration (days)","Location","Distance from Actor","No. of Actors","icb","dcid","Incident","dcid_severity","rei","rei_infoops","rei_cyberdisrup","rei_matsupp"
"73",NA,NA,1994,"Belarus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1
"74",NA,NA,1994,"Ukraine ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1
"72",NA,NA,1996,"Moldova",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1
"1",439,"PANKISI GORGE",2002,"Georgia",2,2,2,1,"Compromise",72,"West Asia","Home territory",3,1,NA,NA,NA,NA,NA,NA,NA
"71",NA,NA,2002,"Ukraine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1
"2",445,"S. OSSETIA/ABKHAZIA",2004,"Georgia",1,1,1,1,"Compromise",94,"West Asia","Home territory",3,1,NA,NA,NA,NA,NA,NA,NA
"70",NA,NA,2004,"Ukraine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1
"40",NA,NA,2005,"Lithuania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Snake",4,NA,NA,NA,NA
"43",NA,NA,2005,"Ukraine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Snake",4,NA,NA,NA,NA
"69",NA,NA,2005,"Moldova",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1
"68",NA,NA,2006,"Belarus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1
"36",NA,NA,2007,"Estonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Defacement of govt websites",2,NA,NA,NA,NA
"37",NA,NA,2007,"Estonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Defacement of private websites",2,NA,NA,NA,NA
"38",NA,NA,2007,"Estonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"DDoS of govt websites",2,NA,NA,NA,NA
"39",NA,NA,2007,"Estonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"DDoS of private websites",2,NA,NA,NA,NA
"46",NA,NA,2007,"Georgia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"APT28/Sofacy Group/Sednit Group/Tsar Team/Fancy Bear ",4,NA,NA,NA,NA
"3",458,"RUSSO-GEORGIAN WAR",2008,"Georgia",3,3,3,0,"Victory",9,"West Asia","Sub-region",2,1,1,"Duke Series",3,NA,NA,NA,NA
"4",458,"RUSSO-GEORGIAN WAR",2008,"Georgia",3,3,3,0,"Victory",9,"West Asia","Sub-region",2,1,1,"Before the gunfire",2,NA,NA,NA,NA
"5",458,"RUSSO-GEORGIAN WAR",2008,"Georgia",3,3,3,0,"Victory",9,"West Asia","Sub-region",2,1,1,"Russo-Georgia Cyber Actions",2,NA,NA,NA,NA
"8",458,"RUSSO-GEORGIAN WAR",2008,"Georgia",3,3,3,0,"Victory",9,"West Asia","Sub-region",2,1,1,"VoiP",2,NA,NA,NA,NA
"9",458,"RUSSO-GEORGIAN WAR",2008,"Georgia",3,3,3,0,"Victory",9,"West Asia","Sub-region",2,1,1,"US-Georgia Government defacements",2,NA,NA,NA,NA
"18",NA,NA,2008,"US",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Duke Series",4,NA,NA,NA,NA
"19",NA,NA,2008,"US",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"CENTCOM\DOD (linked to APT 28)",4,NA,NA,NA,NA
"41",NA,NA,2008,"Lithuania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Lithuanian Parliament",2,NA,NA,NA,NA
"47",NA,NA,2008,"US",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"US govt employee in Georgia hacked",3,NA,NA,NA,NA
"20",NA,NA,2009,"US",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Sandworm",4,NA,NA,NA,NA
"33",NA,NA,2009,"Poland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Sandworm",4,NA,NA,NA,NA
"44",NA,NA,2009,"Ukraine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Sandworm",2,NA,NA,NA,NA
"48",NA,NA,2009,"US",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Power grid hacked, traced to Russia",1,NA,NA,NA,NA
"67",NA,NA,2009,"Moldova",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1
"66",NA,NA,2010,"Ukraine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1
"21",NA,NA,2011,"US",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Energetic Bear/Dragonfly/Crouching Yeti",3,NA,NA,NA,NA
"29",NA,NA,2011,"Canada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Energetic Bear/Dragonfly/Crouching Yeti",3,NA,NA,NA,NA
"31",NA,NA,2011,"UK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Energetic Bear/Dragonfly/Crouching Yeti",4,NA,NA,NA,NA
"22",NA,NA,2013,"US",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Operation Pawn Storm",4,NA,NA,NA,NA
"45",NA,NA,2013,"Ukraine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Duke Series",2,NA,NA,NA,NA
"10",471,"CRIMEA-DONBASS",2014,"Ukraine",4,3,3,NA,"Victory",362,"East Europe","Sub-region",5,1,1,"CyberBerkut UKR Gov Site Hack",2,1,1,1,0
"11",471,"CRIMEA-DONBASS",2014,"Ukraine",4,3,3,NA,"Victory",362,"East Europe","Sub-region",5,1,1,"CyberBerkut Telecom disruption",2,1,1,1,0
"12",471,"CRIMEA-DONBASS",2014,"Ukraine",4,3,3,NA,"Victory",362,"East Europe","Sub-region",5,1,1,"CyberBerkut Ukraine Election Intrusion",2,1,1,1,0
"13",471,"CRIMEA-DONBASS",2014,"Ukraine",4,3,3,NA,"Victory",362,"East Europe","Sub-region",5,1,1,"Operation Pawn Storm",3,1,1,1,0
"14",471,"CRIMEA-DONBASS",2014,"Ukraine",4,3,3,NA,"Victory",362,"East Europe","Sub-region",5,1,1,"CyberBerkut UKR MOD DDoS",2,1,1,1,0
"15",471,"CRIMEA-DONBASS",2014,"Ukraine",4,3,3,NA,"Victory",362,"East Europe","Sub-region",5,1,1,"Fancy Bear (also APT 28 linked)",4,1,1,1,0
"16",471,"CRIMEA-DONBASS",2014,"Ukraine",4,3,3,NA,"Victory",362,"East Europe","Sub-region",5,1,1,"CyberBerkut Billboard Hack",2,1,1,1,0
"23",NA,NA,2014,"US",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"CyberBerkut NATO Websites",2,NA,NA,NA,NA
"24",NA,NA,2014,"US",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Operation Pawn Storm: military networks (fake OWA)",4,NA,NA,NA,NA
"25",NA,NA,2014,"US",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Operation Pawn Storm: Nuclear power plants, newspapers",4,NA,NA,NA,NA
"26",NA,NA,2014,"US",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"US Banks hacked",3,NA,NA,NA,NA
"27",NA,NA,2014,"US",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"White House hack",3,NA,NA,NA,NA
"28",NA,NA,2014,"US",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"State Dept hack",3,NA,NA,NA,NA
"30",NA,NA,2014,"Canada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"CyberBerkut NATO Websites",2,NA,NA,NA,NA
"32",NA,NA,2014,"UK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"CyberBerkut NATO Websites",2,NA,NA,NA,NA
"34",NA,NA,2014,"Poland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Operation Pawn Storm",3,NA,NA,NA,NA
"35",NA,NA,2014,"Poland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"CyberBerkut Polish Stock Exchange",2,NA,NA,NA,NA
"65",NA,NA,2014,"Moldova",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1
"17",476,"TURKEY-RUSSIA JET INCIDENT",2015,"Syria",1,1,2,NA,"Stalemate",2,"West Asia","Same continent",7,1,NA,NA,NA,NA,NA,NA,NA
"63",NA,NA,2015,"Germany",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0
"64",NA,NA,2015,"United Kingdom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0
"55",NA,NA,2016,"Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1
"56",NA,NA,2016,"Bulgaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0
"57",NA,NA,2016,"Italy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1
"58",NA,NA,2016,"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0
"59",NA,NA,2016,"Norway",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0
"60",NA,NA,2016,"Netherlands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0
"61",NA,NA,2016,"United Kingdom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0
"62",NA,NA,2016,"United States",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0
"49",NA,NA,2017,"Czech Republic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0
"50",NA,NA,2017,"France",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
"51",NA,NA,2017,"Germany",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0
"52",NA,NA,2017,"Malta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0
"53",NA,NA,2017,"Netherlands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0
"54",NA,NA,2017,"Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0
