state,join_pfp_year,join_intdial_year,join_map_year,join_nato_year,interest_nato_year,nato,fsu,wp,sfr,cis,csto,notes
Albania,1994,NA,2002,2009,1992,1,0,1,0,,,
Armenia,1994,NA,NA,NA,,0,1,0,0,1,1,
Austria,1995,NA,NA,NA,,0,0,0,0,,,
Azerbaijan,1994,NA,NA,NA,,0,1,0,0,1,,CSTO member from 1994-1999
Belarus,1995,NA,NA,NA,,0,1,0,0,1,1,
Belgium,NA,NA,NA,1949,,1,0,0,0,,,
Bosnia and Herzegovina,,2008,2018,NA,,0,0,0,0,,,
Bulgaria,1994,NA,NA,2004,,1,0,1,0,,,
Canada,NA,NA,NA,1949,,1,0,0,0,,,
Croatia,2000,NA,2002,2009,,1,0,0,1,,,
Cyprus,NA,NA,NA,NA,,,,,,,,
Czech Republic,1994,NA,NA,1999,1991,1,0,1,0,,,Czechoslovak Social Republic was member of WP and became Czech and Slovak Federative Republic in 1992 then split into Czech Republic and Slovakia in 1996
Denmark,NA,NA,NA,1949,,1,0,0,0,,,
Estonia,1994,NA,1999,2004,,1,1,0,0,,,
Finland,1994,NA,NA,NA,,0,0,0,0,,,
France,NA,NA,NA,1949,,1,0,0,0,,,
Georgia,1994,2006,NA,NA,,0,1,0,0,,,CSTO member from 1994-1999. CIS member from 1994-2008
Germany,NA,NA,NA,1955,,1,0,0,0,,,
Greece,NA,NA,NA,1952,,1,0,0,0,,,
Hungary,1994,NA,NA,1999,1991,1,0,1,0,,,
Iceland,NA,NA,NA,1949,,1,0,0,0,,,
Ireland,1999,NA,NA,NA,,0,0,0,0,,,
Italy,NA,NA,NA,1949,,1,0,0,0,,,
Kazakhstan,1994,NA,NA,NA,,0,1,0,0,1,1,
Kosovo,NA,NA,NA,NA,,0,,,,,,
Kyrgyzstan,1994,NA,NA,NA,,0,1,0,0,1,1,
Latvia,1994,NA,1999,2004,,1,1,0,0,,,
Lithuania,1994,NA,2002,2004,,1,1,0,0,,,
Luxembourg,NA,NA,NA,1949,,1,0,0,0,,,
Macedonia,1995,NA,1999,2020,,0,0,0,1,,,
Malta,1995,NA,NA,NA,,0,0,0,0,,,"activated map 1995, withdrew 1996, reactivated 2008"
Moldova,1994,NA,NA,NA,,0,1,0,0,1,,
Montenegro,2006,2008,NA,2017,,1,0,0,1,,,
Netherlands,NA,NA,NA,1949,,1,0,0,0,,,
Norway,NA,NA,NA,1949,,1,0,0,0,,,
Poland,1994,NA,NA,1999,1991,1,0,1,0,,,
Portugal,NA,NA,NA,1949,,1,0,0,0,,,
Romania,1994,NA,NA,2004,,1,0,1,0,,,
Russia,1994,NA,NA,NA,,0,1,0,0,1,1,
Serbia,2006,2008,NA,NA,,0,0,1,0,,,CSTO non-member observer since 2013
Slovakia,1994,NA,NA,2004,1991,1,0,1,0,,,Czechoslovak Social Republic was member of WP and became Czech and Slovak Federative Republic in 1992 then split into Czech Republic and Slovakia in 1996
Slovenia,1994,NA,NA,2004,,1,0,0,1,,,
Soviet Union,NA,NA,NA,NA,,0,0,1,0,,,
Spain,NA,NA,NA,1982,,1,0,0,0,,,
Sweden,1994,NA,NA,NA,,0,0,0,0,,,
Switzerland,1996,NA,NA,NA,,0,0,0,0,,,
Tajikistan,2002,NA,NA,NA,,0,1,0,0,1,1,
Turkmenistan,1994,NA,NA,NA,,0,1,0,0,,,CIS founding state/associate state but never ratified so not a member
Turkey,NA,NA,NA,1952,,1,0,0,0,,,
United Kingdom,NA,NA,NA,1949,,1,0,0,0,,,
United States ,NA,NA,NA,1949,,1,0,0,0,,,
Ukraine,1994,2005,NA,NA,,0,1,0,0,,,CIS founding state but never ratified so not a member. Stopped CIS participation in 2014 and withdrew representatives in 2018
Uzbekistan,1994,NA,NA,NA,,0,1,0,0,1,,CSTO member from 1994-1999 and 2006-2012
