"","cname1","capdist_natohq","lncapdist_natohq","capdist_natorelative","lncapdist_natorelative"
"1","United States",6232.52016148231,8.73769809038443,1610.65861905861,8.07064018512066
"2","Canada",5689.8730425067,8.64662070708404,1489.66635900257,8.0320863076817
"3","United Kingdom",319.917165540461,5.77121419875678,2188.23122524942,8.23661167095959
"4","Ireland",775.992163057786,6.65544313422193,2027.72799709094,8.19318417306288
"5","Netherlands",173.518616396861,5.16208871901042,1980.33002161525,8.17999046275368
"6","Belgium",0,0.00995033085316809,2261.95426630372,8.25594397089934
"7","Luxembourg",186.820269942394,5.23553873558766,2027.2150748508,8.19304232361275
"8","France",261.777382508492,5.57134527369413,2232.34327365102,8.24822396991844
"9","Switzerland",492.377775173726,6.20129542708325,1803.05400946809,8.12904073429997
"10","Spain",1315.61833224391,7.18282945405175,2132.20955286854,8.22166714331866
"11","Portugal",1711.69826553267,7.44583117765147,2202.59286320322,8.24040713203137
"12","Germany",654.034100053907,6.48470256169538,960.284932474023,7.84336834039585
"13","Poland",1164.32471607319,7.06076363466827,-10.57232127015,7.3638617136605
"14","Austria",918.00767713998,6.8233053573611,756.68904718825,7.76011728754616
"15","Hungary",1135.43046209224,7.03565625484797,434.47524118898,7.61231995294862
"16","Czechia",723.823143936403,6.58594148207234,946.254557570247,7.83784838233065
"17","Slovakia",971.562179514595,6.87994429331895,662.887326774445,7.71929772068287
"18","Italy",1172.86651211305,7.068066809262,1207.35367731259,7.93588940782443
"19","Malta",1848.96773800678,7.52292888449012,967.57380163152,7.84622401234571
"20","Albania",1591.4384306785,7.37302800430252,469.57699730554,7.62952276309925
"21","North Macedonia",1634.16248573224,7.39950357362775,292.21240252766,7.53940092467725
"22","Croatia",1026.57207039935,6.93496381704862,844.50981243276,7.79688051325488
"23","Yugoslavia",1376.66054960901,7.22814934433155,338.49905423606,7.56371430076122
"24","Bosnia & Herzegovina",1311.75772217981,7.1798929524686,591.66485191761,7.68715146252593
"25","Slovenia",920.443293810605,6.8259520908667,1015.46710051799,7.86478776004833
"26","Greece",2092.03959391535,7.64637741729922,139.40792484724,7.45466122493797
"27","Bulgaria",1702.45409074151,7.44041915718498,78.1761596889398,7.41858095995594
"28","Moldova",1837.83635156095,7.51689367111978,-691.44517814918,6.79910650088243
"29","Romania",1775.32615743353,7.48230818347552,-274.97267994131,7.18046425378528
"30","Estonia",1604.36231715417,7.38111098196725,-733.392977407459,6.75121564360761
"31","Latvia",1462.25476855122,7.28842536109919,-619.425791348033,6.87633149404631
"32","Lithuania",1473.57905541346,7.29613462345657,-682.885737050348,6.80860307986573
"33","Ukraine",1843.26950252994,7.51984396667045,-1084.75660810649,6.22204833949077
"34","Belarus",1611.1206445697,7.38531196480103,-933.87621680633,6.48404633786861
"35","Georgia",3232.09567760111,8.08119846435519,-1587.48060232408,0.00995033085315908
"36","Finland",1654.18112282464,7.41167176321289,-758.584697252656,6.72131232698025
"37","Sweden",1286.12177183135,7.1601715891703,-55.03837815271,7.33527682830627
"38","Norway",1088.55458148813,6.99353342889053,560.28436054715,7.67265317402166
"39","Denmark",768.80932849544,6.64615584899824,796.95657281524,7.77714188056481
"40","Iceland",2135.21479890211,7.66679543747414,1184.40027049379,7.92764569136787
"41","Turkey",2519.6318502205,7.83226885054275,-725.56759127279,6.7603254762711
"42","Syria",3227.50417331331,8.07977730211831,-752.61660585818,6.72847787979427
"43","Saudi Arabia",4637.58664120141,8.44216715145674,-1102.80002275294,6.18557175359255
"44","Montenegro",1470.748,7.29421288359939,513.786,7.65077613284823
"45","Kosovo",1568.424,7.35847032378902,306.993,7.54722928407438
