Incident,Target,Year,dcid,rei,det_alliance,resp_convmil,resp_convmil_gro,resp_convmil_airsea,resp_paramil,resp_cyberdisrup,resp_infoops,source,notes,dcid_severity,rei_infoops,rei_cyberdisrup,rei_matsupp
OSCE Attack,Austria,2016,NA,1,,0,0,0,0,0,1,"https://uk.reuters.com/article/uk-osce-cyber-attack/osce-victim-of-cyber-attack-idUKKBN14H0VD; https://foreignpolicy.com/2016/12/28/is-russia-responsible-for-a-cyber-attack-against-the-osce/; 
",,NA,0,1,1
Presidential elections,Belarus,1994,NA,1,,0,0,0,0,0,1,https://www.csce.gov/sites/helsinkicommission.house.gov/files/Report%20on%20the%20Belarusian%20Presidential%20Election%201994.pdf; https://www.rienner.com/title/Russia_vs._the_EU_The_Competition_for_Influence_in_Post_Soviet_States,"Tolstrup's book has information on possible Russian election assistance (in Ukraine, Belarus, and Moldova, 1994-1996), but I don't have access to the reading. No evidence of any sort of Russian military presence during this time.",NA,0,0,1
Presidential elections,Belarus,2006,NA,1,,0,0,0,0,0,1,https://www.osce.org/odihr/elections/belarus/19395?download=true; https://www.everycrsreport.com/files/20100415_RL32534_275c441141ef3f3526b511a19c5192a15e3dd600.pdf;,,NA,0,0,1
Presidential elections,Bulgaria,2016,NA,1,,0,0,0,0,0,1,https://www.wsj.com/articles/how-does-russia-meddle-in-elections-look-at-bulgaria-1490282352; https://www.csis.org/analysis/kremlin-playbook; https://www.nytimes.com/2017/03/26/world/europe/bulgaria-election-boiko-borisov.html; https://europeanreform.org/files/ND-report-RussiasInfluenceInBulgaria-preview-lo-res_FV.pdf,resp_convmil_airsea NOT coded as 1 because violations of Bulgarian airspace by Russian military jets from 2014-2016 appears to be unconfirmed or relatively low level.,NA,1,1,0
Energetic Bear/Dragonfly/Crouching Yeti,Canada,2011,1,NA,,0,0,0,0,0,1,https://www.fraserinstitute.org/sites/default/files/cybersecurity-challenges-for-canada-and-the-united-states.pdf;,Looks like the malware was coming from China. ,3,NA,NA,NA
CyberBerkut NATO Websites,Canada,2014,1,NA,,0,0,0,0,0,1,https://www.reuters.com/article/ukraine-crisis-nato-cyber-attack-idINDEEA2F00M20140316; https://www.dw.com/en/nato-websites-hit-by-ddos-cyber-attacks-ukraine-group-claims-responsibility/a-17499561,"Lots of reports of Chinese cyberattacks on Canada, very little mention of Russia/CyberBerkut.",2,NA,NA,NA
General elections,Czech Republic,2017,NA,1,,0,0,0,0,0,1,https://www.theguardian.com/media/2016/dec/28/czech-republic-to-fight-fake-news-with-specialist-unit; https://www.reuters.com/article/us-czech-election-cyber/czech-election-websites-hacked-vote-unaffected-statistics-office-idUSKBN1CR0RQ?il=0; http://www.politicalcapital.hu/pc-admin/source/documents/western_experiences_eastern_vulnerabilities_20171012.pdf,,NA,1,1,0
Defacement of govt websites,Estonia,2007,1,NA,3,0,0,0,0,1,1,https://www.bdcol.ee/files/files/documents/Research/BSDR2009/1_%20Ashmore%20-%20Impact%20of%20Alleged%20Russian%20Cyber%20Attacks%20.pdf; https://www.cna.org/cna_files/pdf/DOP-2016-U-014231-1Rev.pdf; https://www.researchgate.net/publication/264418820_The_Estonian_Cyberattacks/download; https://www.researchgate.net/publication/301565208_Estonia_Confronts_Propaganda_Russia_Manipulates_Media_in_Pursuit_of_Psychological_Warfare,"Previously coded. No evidence of any casualties, not much information on resp_paramil. Evidence of Russian politicians visiting Estonia. Sources relating to casualties and military presence are in the first incidence, but apply to the other incidences in 2007. ",2,NA,NA,NA
Defacement of private websites,Estonia,2007,1,NA,3,0,0,0,0,1,1,http://news.bbc.co.uk/1/hi/technology/7208511.stm; https://www.militairespectator.nl/sites/default/files/uitgaven/inhoudsopgave/Militaire%20Spectator%204-2016%20Selhorst.pdf,Previously coded.,2,NA,NA,NA
DDoS of govt websites,Estonia,2007,1,NA,3,0,0,0,0,1,1,https://www.upi.com/Analysis-Who-cyber-smacked-Estonia/26831181580439/,Previously coded.,2,NA,NA,NA
DDoS of private websites,Estonia,2007,1,NA,3,0,0,0,1,1,1,https://www.upi.com/Analysis-Who-cyber-smacked-Estonia/26831181580439/,Previously coded.,2,NA,NA,NA
Presidential elections,France,2017,NA,1,,0,0,0,0,0,1,https://thehill.com/policy/cybersecurity/329754-russian-interference-looms-over-european-elections; https://www.euractiv.com/section/elections/news/how-france-successfully-countered-russian-interference-during-the-presidential-election/;,,NA,1,1,1
Russian threats against Georgia ,Georgia,2002,,,,1,1,NA,1,NA,NA,https://www.nytimes.com/2002/09/13/world/echoing-bush-putin-asks-un-to-back-georgia-attack.html; http://www.ismlab.usf.edu/isec/files/Georgia-Cyber-Attack-NATO-Aug-2008.pdf; http://news.bbc.co.uk/2/hi/europe/5393106.stm,resp_convmil coded as 1 due to Russian threats of attack and positioning of troops on Georgian border. No evidence of cyber attacks or misinformation campaigns. ,,,,
Separatist Movements in South Ossetia ,Georgia,2004,,,,1,1,NA,1,NA,NA,https://www.foreignaffairs.com/articles/russia-fsu/2004-08-25/tbilisi-blues; http://unpan1.un.org/intradoc/groups/public/documents/UNTC/UNPAN019224.pdf;,No evidence of cyber attacks or misinformation campaigns. ,,,,
APT28/Sofacy Group/Sednit Group/Tsar Team/Fancy Bear ,Georgia,2007,1,NA,,1,0,1,0,0,1,https://www.fireeye.com/content/dam/fireeye-www/global/en/current-threats/pdfs/rpt-apt28.pdf; http://news.bbc.co.uk/2/hi/europe/7083485.stm; https://www.aljazeera.com/news/europe/2007/11/2008525135559690667.html,,4,NA,NA,NA
Duke Series,Georgia,2008,1,NA,1,1,1,1,1,0,1,https://www.f-secure.com/documents/996508/1030745/dukes_whitepaper.pdf; https://web.archive.org/web/20140802211733/http://mfa.gov.ge/index.php?lang_id=ENG&sec_id=597; http://www.cast.ru/files/The_Tanks_of_August_sm_eng.pdf,"Previously coded. Sources suggest around 1,000 casualties, most being Georgian armed forces and civilians in Georgia and South Ossetia.  Sources relating to casualties and military presence are in the first incidence, but apply to the other incidences in 2008. ",3,NA,NA,NA
Before the gunfire,Georgia,2008,1,NA,1,1,1,1,1,1,1,https://www.nytimes.com/2008/08/13/technology/13cyber.html,Previously coded.,2,NA,NA,NA
Russo-Georgia Cyber Actions,Georgia,2008,1,NA,1,1,1,1,1,1,1,http://securehomenetwork.blogspot.com/2008/09/rbn-operatives-part-ii.html; https://apps.dtic.mil/dtic/tr/fulltext/u2/a636632.pdf;,Previously coded.,2,NA,NA,NA
VoiP,Georgia,2008,1,NA,1,1,1,1,1,1,1,https://www.military.com/defensetech/2008/08/13/cyber-war-2-0-russia-v-georgia,Previously coded.,2,NA,NA,NA
