"","Year","Target","icb_viol_crisis_cent","icb_viol_crisis_sev","icb_viol_actor_sev","icb","dcid","Incident","dcid_severity","rei","rei_infoops","rei_cyberdisrup","rei_matsupp"
"92",1994,"Belarus",NA,NA,NA,NA,NA,NA,NA,1,0,0,1
"93",1994,"Ukraine ",NA,NA,NA,NA,NA,NA,NA,1,0,0,1
"91",1996,"Moldova",NA,NA,NA,NA,NA,NA,NA,1,0,0,1
"1",2002,"Georgia",2,2,2,1,NA,NA,NA,NA,NA,NA,NA
"90",2002,"Ukraine",NA,NA,NA,NA,NA,NA,NA,1,0,0,1
"2",2004,"Georgia",1,1,1,1,NA,NA,NA,NA,NA,NA,NA
"89",2004,"Ukraine",NA,NA,NA,NA,NA,NA,NA,1,0,0,1
"51",2005,"Lithuania",NA,NA,NA,NA,1,"Snake/Turla ",4,NA,NA,NA,NA
"55",2005,"Ukraine",NA,NA,NA,NA,1,"Snake/Turla ",4,NA,NA,NA,NA
"88",2005,"Moldova",NA,NA,NA,NA,NA,NA,NA,1,0,0,1
"87",2006,"Belarus",NA,NA,NA,NA,NA,NA,NA,1,0,0,1
"47",2007,"Estonia",NA,NA,NA,NA,1,"Defacement of govt websites",2,NA,NA,NA,NA
"48",2007,"Estonia",NA,NA,NA,NA,1,"Defacement of private websites",2,NA,NA,NA,NA
"49",2007,"Estonia",NA,NA,NA,NA,1,"DDoS of govt websites",2,NA,NA,NA,NA
"50",2007,"Estonia",NA,NA,NA,NA,1,"DDoS of private websites",2,NA,NA,NA,NA
"63",2007,"Georgia",NA,NA,NA,NA,1,"APT28/Sofacy Group/Sednit Group/Tsar Team/Fancy Bear ",4,NA,NA,NA,NA
"3",2008,"Georgia",3,3,3,1,1,"Duke Series",3,NA,NA,NA,NA
"4",2008,"Georgia",3,3,3,1,1,"Before the gunfire",2,NA,NA,NA,NA
"5",2008,"Georgia",3,3,3,1,1,"Russo-Georgia Cyber Actions",2,NA,NA,NA,NA
"6",2008,"Georgia",3,3,3,1,1,"VoiP/Telecom DDoS ",2,NA,NA,NA,NA
"15",2008,"US",NA,NA,NA,NA,1,"Duke Series",4,NA,NA,NA,NA
"16",2008,"US",NA,NA,NA,NA,1,"Agent.bz/CENTCOM (linked to APT 28)",4,NA,NA,NA,NA
"52",2008,"Lithuania",NA,NA,NA,NA,1,"Lithuanian Parliament",2,NA,NA,NA,NA
"67",2008,"US",NA,NA,NA,NA,1,"US govt employee in Georgia hacked",3,NA,NA,NA,NA
"17",2009,"US",NA,NA,NA,NA,1,"Sandworm",4,NA,NA,NA,NA
"44",2009,"Poland",NA,NA,NA,NA,1,"Sandworm",4,NA,NA,NA,NA
"56",2009,"Ukraine",NA,NA,NA,NA,1,"Sandworm",2,NA,NA,NA,NA
"68",2009,"US",NA,NA,NA,NA,1,"Power grid hacked, traced to Russia",1,NA,NA,NA,NA
"86",2009,"Moldova",NA,NA,NA,NA,NA,NA,NA,1,0,0,1
"85",2010,"Ukraine",NA,NA,NA,NA,NA,NA,NA,1,0,0,1
"18",2011,"US",NA,NA,NA,NA,1,"Energetic Bear/Dragonfly/Crouching Yeti",3,NA,NA,NA,NA
"33",2011,"Canada",NA,NA,NA,NA,1,"Energetic Bear/Dragonfly/Crouching Yeti",3,NA,NA,NA,NA
"35",2011,"UK",NA,NA,NA,NA,1,"Energetic Bear/Dragonfly/Crouching Yeti",4,NA,NA,NA,NA
"54",2012,"Lithuania ",NA,NA,NA,NA,1,"Lithuanian Bank ",2,NA,NA,NA,NA
"19",2013,"US",NA,NA,NA,NA,1,"Yahoo breach 2",3,NA,NA,NA,NA
"20",2013,"US",NA,NA,NA,NA,1,"Operation Pawn Storm/World Doping Agency",4,NA,NA,NA,NA
"57",2013,"Ukraine",NA,NA,NA,NA,1,"Duke Series",2,NA,NA,NA,NA
"7",2014,"Ukraine",4,3,3,1,1,"CyberBerkut UKR Gov Site Hack",2,1,1,1,0
"8",2014,"Ukraine",4,3,3,1,1,"CyberBerkut Telecom disruption",2,1,1,1,0
"9",2014,"Ukraine",4,3,3,1,1,"CyberBerkut Ukraine Election Intrusion",2,1,1,1,0
"10",2014,"Ukraine",4,3,3,1,1,"Operation Pawn Storm",3,1,1,1,0
"11",2014,"Ukraine",4,3,3,1,1,"CyberBerkut UKR MOD DDoS",2,1,1,1,0
"12",2014,"Ukraine",4,3,3,1,1,"Fancy Bear (also APT 28 linked)",4,1,1,1,0
