"","V1","depth.score","scope.score"
"phi_1_1",1005,0.022,-0.362
"phi_2_1",1010,-0.675,-0.29
"phi_3_1",1015,0.494,1.943
"phi_4_1",1020,-0.338,0.913
"phi_5_1",1025,0.063,-0.373
"phi_6_1",1030,-0.798,-0.398
"phi_7_1",1035,-0.438,1.82
"phi_8_1",1040,-1.618,2.507
"phi_9_1",1045,0.508,-0.596
"phi_10_1",1050,-1.243,1.462
"phi_11_1",1053,0,-0.112
"phi_12_1",1055,0.512,2.183
"phi_13_1",1060,0.512,0.504
"phi_14_1",1065,0.625,1.584
"phi_15_1",1070,0.019,2.187
"phi_16_1",1075,0.055,-0.464
"phi_17_1",1080,0.564,-0.598
"phi_18_1",1085,0.51,1.812
"phi_19_1",1090,0.529,1.908
"phi_20_1",1095,0.587,-0.125
"phi_21_1",1100,-0.495,0.59
"phi_22_1",1110,0.517,2.177
"phi_23_1",1115,0.49,-0.595
"phi_24_1",1118,0.014,0.495
"phi_25_1",1120,0.01,0.98
"phi_26_1",1125,-0.811,0.619
"phi_27_1",1130,-0.782,0.61
"phi_28_1",1135,-0.021,-0.241
"phi_29_1",1150,0.075,1.696
"phi_30_1",1155,0.235,-0.536
"phi_31_1",1160,-0.342,0.847
"phi_32_1",1165,0.509,1.607
"phi_33_1",1170,-0.033,0.366
"phi_34_1",1175,-0.343,0.691
"phi_35_1",1180,-0.362,1.811
"phi_36_1",1185,0.525,-0.586
"phi_37_1",1190,0.547,0.672
"phi_38_1",1195,0.543,1.598
"phi_39_1",1200,0.544,-0.517
"phi_40_1",1205,0.527,-0.31
"phi_41_1",1210,-0.945,1.951
"phi_42_1",1215,0.59,-0.619
"phi_43_1",1220,-0.35,-0.282
"phi_44_1",1225,0.523,2.076
"phi_45_1",1227,0.518,1.036
"phi_46_1",1230,0.095,1.748
"phi_47_1",1235,0.544,-0.236
"phi_48_1",1240,0.406,-0.247
"phi_49_1",1245,-0.255,1.927
"phi_50_1",1255,-0.543,1.806
"phi_51_1",1260,-0.016,1.956
"phi_52_1",1265,0.591,2.086
"phi_53_1",1270,0.598,-0.628
"phi_54_1",1272,-0.062,2.034
"phi_55_1",1275,0.574,0.254
"phi_56_1",1280,0.568,0.244
"phi_57_1",1285,0.606,0.261
"phi_58_1",1287,-1.274,0.264
"phi_59_1",1290,-3.141,0.254
"phi_60_1",1295,0.496,2.031
"phi_61_1",1300,0.544,2.036
"phi_62_1",1305,0.607,-0.235
"phi_63_1",1310,0.134,1.443
"phi_64_1",1315,0.528,-0.572
"phi_65_1",1320,-1.636,-0.382
"phi_66_1",1325,0.607,-0.505
"phi_67_1",1330,-0.345,0.501
"phi_68_1",1335,0.602,1.35
"phi_69_1",1340,0.591,-0.558
"phi_70_1",1345,0.549,-0.649
"phi_71_1",1350,0.294,1.564
"phi_72_1",1355,0.576,0.168
"phi_73_1",1360,0.538,-0.587
"phi_74_1",1365,0.598,-0.588
"phi_75_1",1370,0.587,-0.533
"phi_76_1",1375,0.575,1.926
"phi_77_1",1380,0.529,-0.562
"phi_78_1",1385,-0.427,1.452
"phi_79_1",1390,-0.321,1.946
"phi_80_1",1395,-0.272,1.949
"phi_81_1",1400,0.613,-0.222
"phi_82_1",1410,0.582,-0.596
"phi_83_1",1415,0.281,1.735
"phi_84_1",1420,0.606,-0.401
"phi_85_1",1425,0.638,2.173
"phi_86_1",1430,0.601,-0.574
"phi_87_1",1435,0.599,-0.428
"phi_88_1",1440,0.103,1.564
"phi_89_1",1445,0.495,-0.582
"phi_90_1",1450,-0.137,-0.541
"phi_91_1",1455,0.503,-0.578
"phi_92_1",1460,0.604,-0.592
"phi_93_1",1465,0.587,-0.582
"phi_94_1",1467,0.456,-0.52
"phi_95_1",1470,0.102,1.865
"phi_96_1",1475,0.256,1.754
"phi_97_1",1480,0.223,1.807
"phi_98_1",1485,0.485,-0.569
"phi_99_1",1490,-0.485,2.27
"phi_100_1",2005,0.569,1.836
"phi_101_1",2010,0.623,1.236
"phi_102_1",2012,0.618,0.882
"phi_103_1",2013,0.567,0.873
"phi_104_1",2015,0.526,-0.584
"phi_105_1",2020,0.249,-0.322
"phi_106_1",2025,-0.055,1.809
"phi_107_1",2030,-1.334,1.924
"phi_108_1",2035,0.621,1.418
"phi_109_1",2040,-1.758,1.977
"phi_110_1",2045,-0.418,1.939
"phi_111_1",2050,0.483,1.603
"phi_112_1",2055,-2.568,1.443
"phi_113_1",2060,-1.586,1.562
"phi_114_1",2070,0.496,0.754
"phi_115_1",2075,-0.52,1.464
"phi_116_1",2080,0.488,1.545
"phi_117_1",2085,0.53,1.519
"phi_118_1",2090,0.425,-0.526
"phi_119_1",2095,0.476,-0.574
"phi_120_1",2100,0.491,-0.482
"phi_121_1",2110,-0.311,-0.159
"phi_122_1",2115,0.52,-0.675
