ccode1,cowName1,ccode2,cowName2,signDay,signMonth,signYear,EIFDay,EIFMonth,EIFYear,type,category1,category2,category3,span,renewType,renewYears,terminated,durationActual,endYearEstimate,asymmetry,categoryConf,UNTS,fullText,sourceType,source,factivaConf,factivaSign,factivaEIF,DCAid
2,USA,20,CAN,1,4,1984,1,4,1984,sector,PROCUREMENT,,,,,,0,,2010,1,atypical,,Y,treaty,US DOD,,,,DCADv1.0-0001
2,USA,20,CAN,19,8,1994,19,8,1994,general,DCA,,,-77,-77,-77,0,,2010,1,atypical,,Y,treaty,TIAS,,,,DCADv1.0-0002
2,USA,20,CAN,8,6,1996,8,6,1996,sector,PROCUREMENT,,,-77,-77,-77,0,,2010,1,atypical,,Y,treaty,US DOD,,,,DCADv1.0-0003
2,USA,20,CAN,29,8,1996,29,8,1996,sector,RESEARCH,,,25,-57,25,0,,2010,0,high,,Y,treaty,TIAS,,,,DCADv1.0-0004
2,USA,20,CAN,,,1999,,,,sector,PROCUREMENT,,,,,,-88,,2005,0,low,,,factiva,"Wires, newspapers, transcripts",1,-99,,DCADv1.0-0005
2,USA,20,CAN,9,12,2002,,,,general,DCA,,,,,,-88,,2008,1,atypical,,,factiva,"Wires, newspapers, transcripts",2,1,,DCADv1.0-0006
2,USA,100,COL,21,7,2009,21,7,2009,sector,RESEARCH,,,15,-58,-88,0,,2010,0,high,,Y,treaty,TIAS,,,,DCADv1.0-0007
2,USA,100,COL,30,10,2009,30,10,2009,general,DCA,,,10,-66,-66,0,,2010,1,atypical,,Y,treaty,TIAS,,,,DCADv1.0-0008
2,USA,140,BRA,31,8,1983,6,2,1984,general,DIC,,,5,-57,5,1,29,2010,0,high,122823,Y,treaty,UNTS,,,,DCADv1.0-0009
2,USA,140,BRA,6,2,1984,6,2,1984,general,DIC,,,5,-57,5,0,,2010,1,high,,TE,treaty,"Ministry of Foreign Affairs, Division of International Acts, Brazil",,,,DCADv1.0-0010
2,USA,140,BRA,12,4,2010,,,,general,DCA,,,-77,-77,-77,-88,,2010,0,high,,TE,treaty,"Ministry of Foreign Affairs, Division of International Acts, Brazil",,,,DCADv1.0-0011
2,USA,150,PAR,,,2006,,,,general,DCA,,,,,,-88,,2010,0,low,,,factiva,"Wires, newspapers, transcripts",1,-99,,DCADv1.0-0012
2,USA,155,CHL,17,7,1996,,,,general,DCA,,,,,,-88,,2002,1,low,,N,treaty,NOTES,,,,DCADv1.0-0013
2,USA,155,CHL,8,4,2008,8,4,2008,sector,RESEARCH,,,15,-58,-88,0,,2010,0,high,,Y,treaty,TIAS,,,,DCADv1.0-0014
2,USA,160,ARG,13,7,1992,13,7,1992,sector,TREX,,,,,,0,,2010,1,atypical,,NE,treaty,Argentina Biblioteca Digital de Tratados,,,,DCADv1.0-0015
2,USA,160,ARG,22,7,1998,22,7,1998,sector,RESEARCH,,,,,,1,15,2010,0,high,,N,treaty,TIAS,,,,DCADv1.0-0016
2,USA,160,ARG,15,11,1999,,,,sector,COMMISSION,,,-77,-77,-77,-88,,2010,0,high,,Y,treaty,Argentina Biblioteca Digital de Tratados,,,,DCADv1.0-0017
2,USA,160,ARG,17,10,2000,,,,sector,RESEARCH,,,,,,-88,,2006,0,low,,,factiva,"Wires, newspapers, transcripts",2,1,,DCADv1.0-0018
2,USA,160,ARG,23,4,2008,,,,sector,TREX,,,,,,-88,,2010,1,med,,N,treaty,Argentina Ministry of Defense,,,,DCADv1.0-0019
2,USA,200,UKG,6,9,1988,6,9,1988,sector,RESEARCH,,,,,,0,,2010,0,high,,Y,treaty,TIAS,,,,DCADv1.0-0020
2,USA,200,UKG,27,5,1993,27,5,1993,general,DCA,,,-77,-77,-77,0,,2010,0,med,131089,Y,treaty,UNTS,,,,DCADv1.0-0021
2,USA,200,UKG,18,11,1994,18,11,1994,sector,RESEARCH,,,,,,0,,2010,0,high,,Y,treaty,TIAS,,,,DCADv1.0-0022
2,USA,200,UKG,13,12,1994,,,,general,DIC,,,,,,-88,,2000,0,high,,N,treaty,Treaty,,,,DCADv1.0-0023
2,USA,200,UKG,11,4,2000,11,4,2000,sector,RESEARCH,,,,,,0,,2010,0,high,,Y,treaty,TIAS,,,,DCADv1.0-0024
2,USA,200,UKG,16,12,2004,16,12,2004,general,DIC,,,10,-44,-44,-99,,2010,0,high,,Y,treaty,TIAS,,,,DCADv1.0-0025
2,USA,210,NTH,14,5,1998,14,5,1998,sector,RESEARCH,,,10,-58,-88,0,,2010,0,high,,Y,treaty,TIAS,,,,DCADv1.0-0026
2,USA,212,LUX,14,10,2010,14,10,2010,general,DIC,PROCUREMENT,RESEARCH,10,-44,-44,0,,2010,0,high,,N,treaty,US DOD,,,,DCADv1.0-0027
2,USA,220,FRN,10,1,1994,10,1,1994,sector,RESEARCH,,,10,-57,10,0,,2010,0,high,,Y,treaty,TIAS,,,,DCADv1.0-0028
2,USA,225,SWZ,1,11,1988,1,11,1988,general,DIC,,,,,,0,,2010,0,high,,N,treaty,TIAS,,,,DCADv1.0-0029
2,USA,225,SWZ,15,2,2007,15,2,2007,general,DIC,PROCUREMENT,RESEARCH,5,-66,-66,0,,2010,0,high,,Y,treaty,TIAS,,,,DCADv1.0-0030
2,USA,230,SPN,19,6,1980,19,6,1980,sector,RESEARCH,,,-77,-77,-77,0,,2010,0,high,119974,Y,treaty,UNTS,,,,DCADv1.0-0031
2,USA,230,SPN,2,7,1982,2,7,1982,general,DIC,,,5,-66,-66,0,,2010,0,high,,Y,treaty,US DOD,,,,DCADv1.0-0032
2,USA,230,SPN,1,12,1988,14,5,1989,general,DCA,,,8,-66,-66,0,,2010,1,atypical,126701,Y,treaty,UNXX,,,,DCADv1.0-0033
2,USA,230,SPN,4,4,2002,,,,general,DIC,PROCUREMENT,RESEARCH,,,,-88,,2008,0,low,,,factiva,"Wires, newspapers, transcripts",3,1,,DCADv1.0-0034
2,USA,230,SPN,,4,2002,,,,general,DCA,,,8,,8,-88,,2010,1,atypical,,,factiva,"Wires, newspapers, transcripts",3,1,,DCADv1.0-0035
2,USA,235,POR,1,6,1995,1,6,1995,general,DCA,,,5,-66,-66,0,,2010,2,atypical,,Y,treaty,TIAS,,,,DCADv1.0-0036
2,USA,255,GER,17,3,1995,17,3,1995,sector,RESEARCH,,,10,-57,10,1,14,2009,0,high,,Y,treaty,TIAS,,,,DCADv1.0-0037
2,USA,255,GER,24,3,2009,24,3,2009,sector,RESEARCH,,,10,-58,-88,0,,2010,1,high,,Y,treaty,TIAS,,,,DCADv1.0-0038
2,USA,290,POL,9,6,1995,9,6,1995,sector,RESEARCH,,,,,,0,,2010,0,high,,Y,treaty,TIAS,,,,DCADv1.0-0039
2,USA,305,AUS,3,9,1991,3,9,1991,sector,PROCUREMENT,RESEARCH,,5,-66,-66,0,,2010,0,high,,N,treaty,US DOD,,,,DCADv1.0-0040
2,USA,310,HUN,16,5,1995,16,5,1995,sector,RESEARCH,,,10,-57,-55,0,,2010,0,high,141984,Y,treaty,UNTS,,,,DCADv1.0-0041
