cname1,year,milex_sipri
"Albania",1993,141
"Albania",1994,135
"Albania",1995,126
"Albania",1996,113
"Albania",1997,78.9
"Albania",1998,74.6
"Albania",1999,86.4
"Albania",2000,95.6
"Albania",2001,109
"Albania",2002,108
"Albania",2003,122
"Albania",2004,133
"Albania",2005,138
"Albania",2006,169
"Albania",2007,210
"Albania",2008,247
"Albania",2009,195
"Albania",2010,210
"Albania",2011,209
"Albania",2012,204
"Albania",2013,192
"Albania",2014,187
"Albania",2015,163
"Albania",2016,157
"Albania",2017,162
"Albania",2018,176
"Armenia",1993,51.1
"Armenia",1994,
"Armenia",1995,126
"Armenia",1996,109
"Armenia",1997,138
"Armenia",1998,137
"Armenia",1999,147
"Armenia",2000,149
"Armenia",2001,145
"Armenia",2002,143
"Armenia",2003,165
"Armenia",2004,182
"Armenia",2005,222
"Armenia",2006,263
"Armenia",2007,308
"Armenia",2008,357
"Armenia",2009,372
"Armenia",2010,389
"Armenia",2011,357
"Armenia",2012,365
"Armenia",2013,411
"Armenia",2014,417
"Armenia",2015,452
"Armenia",2016,444
"Armenia",2017,455
"Armenia",2018,609
"Austria",1993,3352
"Austria",1994,3367
"Austria",1995,3338
"Austria",1996,3306
"Austria",1997,3314
"Austria",1998,3323
"Austria",1999,3391
"Austria",2000,3473
"Austria",2001,3236
"Austria",2002,3179
"Austria",2003,3310
"Austria",2004,3316
"Austria",2005,3245
"Austria",2006,3117
"Austria",2007,3707
"Austria",2008,3592
"Austria",2009,3354
"Austria",2010,3335
"Austria",2011,3259
"Austria",2012,3216
"Austria",2013,3091
"Austria",2014,3117
"Austria",2015,2980
"Austria",2016,3207
"Austria",2017,3367
"Austria",2018,3388
"Azerbaijan",1993,294
"Azerbaijan",1994,149
"Azerbaijan",1995,123
"Azerbaijan",1996,108
"Azerbaijan",1997,124
"Azerbaijan",1998,142
"Azerbaijan",1999,185
"Azerbaijan",2000,196
"Azerbaijan",2001,222
"Azerbaijan",2002,239
"Azerbaijan",2003,298
"Azerbaijan",2004,361
"Azerbaijan",2005,423
"Azerbaijan",2006,868
"Azerbaijan",2007,944
"Azerbaijan",2008,1270
"Azerbaijan",2009,1122
"Azerbaijan",2010,1062
"Azerbaijan",2011,2021
"Azerbaijan",2012,2097
"Azerbaijan",2013,2121
"Azerbaijan",2014,2128
"Azerbaijan",2015,2262
"Azerbaijan",2016,1509
"Azerbaijan",2017,1584
"Azerbaijan",2018,1672
"Belarus",1993,351
"Belarus",1994,352
"Belarus",1995,139
"Belarus",1996,107
"Belarus",1997,175
"Belarus",1998,163
"Belarus",1999,164
"Belarus",2000,181
"Belarus",2001,226
"Belarus",2002,235
"Belarus",2003,237
"Belarus",2004,287
"Belarus",2005,373
"Belarus",2006,485
"Belarus",2007,529
"Belarus",2008,542
"Belarus",2009,480
"Belarus",2010,540
"Belarus",2011,580
"Belarus",2012,660
"Belarus",2013,706
"Belarus",2014,716
"Belarus",2015,703
"Belarus",2016,655
"Belarus",2017,629
"Belarus",2018,715
"Belgium",1993,6065
"Belgium",1994,6032
"Belgium",1995,5909
"Belgium",1996,5797
"Belgium",1997,5724
"Belgium",1998,5722
"Belgium",1999,5797
"Belgium",2000,5796
"Belgium",2001,5541
"Belgium",2002,5373
"Belgium",2003,5432
"Belgium",2004,5319
"Belgium",2005,5125
"Belgium",2006,5085
"Belgium",2007,5487
"Belgium",2008,5982
"Belgium",2009,5634
"Belgium",2010,5396
"Belgium",2011,5207
"Belgium",2012,5149
"Belgium",2013,5018
"Belgium",2014,4936
"Belgium",2015,4753
"Belgium",2016,4734
"Belgium",2017,4736
"Belgium",2018,4840
"Bosnia & Herzegovina",1993,
"Bosnia & Herzegovina",1994,
"Bosnia & Herzegovina",1995,
"Bosnia & Herzegovina",1996,
"Bosnia & Herzegovina",1997,
"Bosnia & Herzegovina",1998,
"Bosnia & Herzegovina",1999,
