cname1,year,milexpercap_sipri
"Albania",1993,12.3
"Albania",1994,15.8
"Albania",1995,16.4
"Albania",1996,14.8
"Albania",1997,9.6
"Albania",1998,10.8
"Albania",1999,13.7
"Albania",2000,14.5
"Albania",2001,17
"Albania",2002,18.8
"Albania",2003,24.4
"Albania",2004,32.5
"Albania",2005,35.7
"Albania",2006,46
"Albania",2007,64.2
"Albania",2008,85.1
"Albania",2009,61.5
"Albania",2010,63.1
"Albania",2011,67.3
"Albania",2012,62.9
"Albania",2013,62
"Albania",2014,61.5
"Albania",2015,45.8
"Albania",2016,45.3
"Albania",2017,50.1
"Albania",2018,61
"Armenia",1993,2.9
"Armenia",1994,
"Armenia",1995,16.2
"Armenia",1996,16.5
"Armenia",1997,20.4
"Armenia",1998,21.5
"Armenia",1999,22.1
"Armenia",2000,22.2
"Armenia",2001,21.7
"Armenia",2002,21.1
"Armenia",2003,25.4
"Armenia",2004,32.7
"Armenia",2005,47.2
"Armenia",2006,63.6
"Armenia",2007,95.5
"Armenia",2008,136.2
"Armenia",2009,124.5
"Armenia",2010,137.3
"Armenia",2011,135.9
"Armenia",2012,131.9
"Armenia",2013,153.4
"Armenia",2014,157.2
"Armenia",2015,152.9
"Armenia",2016,146.9
"Armenia",2017,150.6
"Armenia",2018,206.3
"Austria",1993,268
"Austria",1994,280.3
"Austria",1995,320.1
"Austria",1996,306.6
"Austria",1997,269.5
"Austria",1998,268.6
"Austria",1999,263.9
"Austria",2000,238.6
"Austria",2001,220.9
"Austria",2002,231.3
"Austria",2003,291.3
"Austria",2004,326.1
"Austria",2005,325.5
"Austria",2006,318.7
"Austria",2007,421
"Austria",2008,449.2
"Austria",2009,398.3
"Austria",2010,382.7
"Austria",2011,403.4
"Austria",2012,374.9
"Austria",2013,377.4
"Austria",2014,383.6
"Austria",2015,307.1
"Austria",2016,329.9
"Austria",2017,355.8
"Austria",2018,381
"Azerbaijan",1993,10.2
"Azerbaijan",1994,5.7
"Azerbaijan",1995,8.5
"Azerbaijan",1996,9.1
"Azerbaijan",1997,11.6
"Azerbaijan",1998,13.4
"Azerbaijan",1999,14.9
"Azerbaijan",2000,14.7
"Azerbaijan",2001,16.1
"Azerbaijan",2002,16.9
"Azerbaijan",2003,21.1
"Azerbaijan",2004,27
